Parallel Hierarchical Grid (version 0.9.4).
Total time cost = 8468.012192

L2 error of rhs[0]: 0.000000
L2 error of rhs[1]: 0.000000
L2 error of rhs[2]: 0.000000
L2 error of rhs[3]: 0.000000
L2 error of rhs[4]: 0.000000
L2 error of rhs[5]: 0.000000
L2 error of rhs[6]: 0.000000
L2 error of rhs[7]: 0.000000
L2 error of rhs[8]: 0.000000
L2 error of rhs[9]: 0.000000
L2 error of rhs[10]: 0.022774
L2 error of rhs[11]: 0.000000
L2 error of rhs[12]: 0.000000
L2 error of rhs[13]: 0.000000
L2 error of rhs[14]: 0.796523
L2 error of rhs[15]: 0.491421
L2 error of rhs[16]: 0.489527
L2 error of rhs[17]: 0.768644
L2 error of rhs[18]: 0.476869
L2 error of rhs[19]: 0.777537
L2 error of rhs[20]: 0.019937
L2 error of rhs[21]: 0.000000
L2 error of rhs[22]: 0.000000
L2 error of rhs[23]: 0.000000
L2 error of rhs[24]: 0.325244
L2 error of rhs[25]: 0.168091
L2 error of rhs[26]: 0.167977
L2 error of rhs[27]: 0.300216
L2 error of rhs[28]: 0.158605
L2 error of rhs[29]: 0.297175
L2 error of rhs[30]: 0.019669
L2 error of rhs[31]: 0.000000
L2 error of rhs[32]: 0.000000
L2 error of rhs[33]: 0.000000
L2 error of rhs[34]: 0.303869
L2 error of rhs[35]: 0.168171
L2 error of rhs[36]: 0.163281
L2 error of rhs[37]: 0.313770
L2 error of rhs[38]: 0.163488
L2 error of rhs[39]: 0.296466
L2 error of rhs[40]: 0.019789
L2 error of rhs[41]: 0.000000
L2 error of rhs[42]: 0.000000
L2 error of rhs[43]: 0.000000
L2 error of rhs[44]: 0.302064
L2 error of rhs[45]: 0.162715
L2 error of rhs[46]: 0.164619
L2 error of rhs[47]: 0.301510
L2 error of rhs[48]: 0.162471
L2 error of rhs[49]: 0.311928
